
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
163,10-04-2016 09:12,Supervisor,saphire,36,5350,,OBSIDIAN,OBSIDIAN, 13.0,,0.0,,0.0,,0.0,  0.0101,  0.0057,  0.6554,  0.0245,  0.0246,  0.0034,  0.0017,  0.0003,  0.0011,  0.0004,  0.0268,  0.0012,  0.0008,  0.0002,  0.0069,  0.0005,< LOD,  0.0005,< LOD,  0.0005,  0.0286,  0.0000,  0.0355,  0.0000,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
164,10-04-2016 10:23,Supervisor,saphire,36,5350,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
165,10-04-2016 11:13,Supervisor,saphire,36,5350,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
166,10-04-2016 11:16,Supervisor,saphire,36,5350,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
167,10-04-2016 11:49,Supervisor,saphire,36,5350,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
168,10-05-2016 08:54,SERVICE,saphire,36,5350,,Spectrum Only,, 44.0,,0.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mn,Mn Err,Fe,Fe Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Th,Th Err,RbSrY,RbSrY Err,RbSrYZr,RbSrYZr Err,Cal Check
169,10-05-2016 09:17,SERVICE,saphire,36,5350,,OBSIDIAN,OBSIDIAN,  1.0,,0.0,,0.0,,0.0,< LOD,  0.0088,  0.3248,  0.1980,  0.0771,  0.0751,< LOD,  1.#SNB,< LOD,  1.#SNB,< LOD,  1.#SNB,< LOD,  1.#SNB,  0.0076,  0.0062,< LOD,  0.0045,< LOD,  0.0127,  0.0002,  0.0000,  0.0078,  0.0000,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
170,10-05-2016 09:26,SERVICE,saphire,36,5350,,Spectrum Only,,  4.0,,0.0,,0.0,,0.0,Passed
171,10-05-2016 09:29,REMOTE,saphire,36,5350,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
172,10-05-2016 10:17,Supervisor,saphire,36,5350,,Spectrum Only,,  4.0,,0.0,,0.0,,0.0,Passed
173,10-05-2016 10:18,Supervisor,saphire,36,5350,,Spectrum Only,,150.0,,0.0,,0.0,,0.0,Passed
174,10-05-2016 10:22,Supervisor,saphire,36,5350,,Spectrum Only,,150.0,,0.0,,0.0,,0.0,Passed
175,10-05-2016 10:25,Supervisor,saphire,36,5350,,Spectrum Only,,150.0,,0.0,,0.0,,0.0,Passed
176,10-05-2016 10:28,Supervisor,saphire,36,5350,,Spectrum Only,,  4.0,,0.0,,0.0,,0.0,Passed
177,10-05-2016 10:29,Supervisor,saphire,36,5350,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
178,10-05-2016 11:19,SERVICE,saphire,36,5350,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
179,10-05-2016 11:29,SERVICE,saphire,36,5350,,Spectrum Only,, 20.0,,0.0,,0.0,,0.0,Passed
180,10-05-2016 11:31,SERVICE,saphire,36,5350,,Spectrum Only,,180.0,,0.0,,0.0,,0.0,Passed
181,10-05-2016 11:38,SERVICE,saphire,36,5350,,Spectrum Only,,180.0,,0.0,,0.0,,0.0,Passed
182,10-05-2016 13:08,REMOTE,saphire,36,5350,,Spectrum Only,,  3.0,,0.0,,0.0,,0.0,Passed
183,10-05-2016 13:08,REMOTE,saphire,36,5350,,Spectrum Only,,  3.0,,0.0,,0.0,,0.0,Passed
184,10-05-2016 13:09,REMOTE,saphire,36,5350,,Spectrum Only,,242.0,,0.0,,0.0,,0.0,Passed
185,10-05-2016 13:37,Supervisor,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
186,10-05-2016 13:54,Supervisor,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
187,10-05-2016 14:00,Supervisor,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
188,10-05-2016 14:10,Supervisor,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
189,10-05-2016 14:18,Supervisor,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
190,10-05-2016 14:27,Supervisor,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
191,10-05-2016 14:42,Supervisor,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
192,10-05-2016 14:49,Supervisor,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
193,10-05-2016 17:16,REMOTE,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
194,10-05-2016 17:23,REMOTE,saphire,36,5350,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
195,10-06-2016 12:57,Supervisor,saphire,36,5350,,MudrockMajor,MudrockMajor,  7.0,,0.0,,0.0,,0.0,  0.4719,  0.0534,< LOD,7731.1616,  7.9996,  0.2772, 28.6239,  0.2832,< LOD,  0.0216,< LOD,  0.0113, 10.9749,  0.0733,  1.3122,  0.0138,  0.0604,  0.0019,  0.0133,  0.0028,< LOD,  0.0020,  0.0149,  0.0026,  0.3738,  0.0030,< LOD,  0.0000,  0.0073,  0.0004,  0.0046,  0.0027,  0.0139,  0.0026,< LOD,  0.0919,Passed
196,10-06-2016 12:58,Supervisor,saphire,36,5350,,MudrockMajor,MudrockMajor, 12.0,,0.0,,0.0,,0.0,  0.4750,  0.0466,< LOD,8427.5371,  8.1075,  0.2145, 27.4545,  0.2132,< LOD,  0.0168,< LOD,  0.0086, 12.0734,  0.0587,  1.3843,  0.0107,  0.0586,  0.0014,  0.0103,  0.0021,< LOD,  0.0015,  0.0135,  0.0019,  0.3713,  0.0022,< LOD,  0.0000,  0.0075,  0.0003,< LOD,  0.0020,  0.0121,  0.0020,< LOD,  0.0682,Passed
197,10-06-2016 13:02,Supervisor,saphire,36,5350,,MudrockMajor,MudrockMajor,  3.0,,0.0,,0.0,,0.0,  0.5773,  0.1199,< LOD,4741.6367, 11.7198,  0.5211, 21.6373,  0.3860,  5.7027,  0.1430,< LOD,  0.0204,  8.5193,  0.0986,  0.8469,  0.0159,  0.0600,  0.0029,  0.0104,  0.0041,< LOD,  0.0030,  0.0145,  0.0038,  0.3746,  0.0046,  0.0001,  0.0001,  0.0078,  0.0006,< LOD,  0.0041,  0.0158,  0.0040,< LOD,  0.1338,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
198,10-06-2016 13:02,Supervisor,saphire,36,5350,,MudrockMajor,MudrockMajor,  2.0,,0.0,,0.0,,0.0,  1.1453,  0.4592, 41.5526,  1.2856,  1.0833,  0.0865,  0.1017,  0.0478,  3.4939,  0.0903,< LOD,  0.0122,  0.0677,  0.0102,  0.0654,  0.0041,  0.0374,  0.0064,  0.0195,  0.0046,  0.0218,  0.0053,  0.4115,  0.0068,  0.0009,  0.0002,  0.0308,  0.0012,  0.0604,  0.0062,  3.1244,  0.0301,< LOD,  0.1880,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
199,10-06-2016 13:05,Supervisor,saphire,36,5350,,Spectrometer Mode,,  2.0,,0.0,,0.0,,0.0,Passed
200,10-06-2016 13:08,Supervisor,saphire,36,5350,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
201,10-06-2016 13:10,Supervisor,saphire,36,5350,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
202,10-06-2016 13:10,Supervisor,saphire,36,5350,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
203,10-07-2016 08:45,SERVICE,saphire,36,5350,,Spectrum Only,, 29.0,,0.0,,0.0,,0.0,Passed
204,10-07-2016 08:46,SERVICE,saphire,36,5350,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed
205,10-07-2016 08:54,SERVICE,saphire,36,5350,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed
206,10-07-2016 08:56,SERVICE,saphire,36,5350,,Spectrum Only,, 13.0,,0.0,,0.0,,0.0,Passed
207,10-07-2016 08:57,SERVICE,saphire,36,5350,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Mg,Mg Err,P,P Err,K,K Err,Ca,Ca Err,Mn,Mn Err,Fe,Fe Err,Cu,Cu Err,Zn,Zn Err,Mo,Mo Err,Cal Check
208,10-07-2016 10:56,SERVICE,sDAR L2,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0, 21.1266,  1.4429,  0.0000,  0.1410,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0151,  0.0000,  0.0000,  0.0000,  0.0081,  0.0326,  0.0028,  0.0006,  0.0000,Passed
209,10-07-2016 10:58,SERVICE,sDAR M2,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0, 21.4810,  1.4315,  0.0000,  0.2161,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0159,  0.0000,  0.0000,  0.0000,  0.0082,  0.1512,  0.0032,  0.0005,  0.0000,Passed
210,10-07-2016 10:59,SERVICE,sDAR H1,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0, 21.8250,  1.7494,  0.0000,  0.3066,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0484,  0.0000,  0.0000,  0.0000,  0.0076,  0.6505,  0.0057,  0.0009,  0.0001,Passed
211,10-07-2016 11:01,SERVICE,Silica,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0, 17.1940,  1.1490,  0.0000,  0.0861,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0049,  0.0000,  0.0000,  0.0000,  0.0109,  0.0000,  0.0023,  0.0007,  0.0000,Passed
212,10-07-2016 11:02,SERVICE,Silica,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0, 17.4723,  1.1581,  0.0000,  0.0872,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0049,  0.0000,  0.0000,  0.0000,  0.0109,  0.0000,  0.0022,  0.0007,  0.0000,Passed
213,10-07-2016 11:04,SERVICE,Silica,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0, 17.3575,  1.1515,  0.0000,  0.0869,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0049,  0.0000,  0.0000,  0.0000,  0.0109,  0.0000,  0.0022,  0.0007,  0.0000,Passed
214,10-07-2016 11:05,SERVICE,Silica,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0, 18.0380,  1.1676,  0.0000,  0.0887,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0049,  0.0000,  0.0000,  0.0000,  0.0109,  0.0000,  0.0022,  0.0007,  0.0000,Passed
215,10-07-2016 11:06,SERVICE,Silica,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0, 18.0390,  1.1759,  0.0000,  0.0913,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0049,  0.0000,  0.0000,  0.0000,  0.0112,  0.0000,  0.0022,  0.0008,  0.0000,Passed
216,10-07-2016 11:09,SERVICE,sDAR_L2,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0, 21.4536,  0.4828,  0.0000,  0.0484,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0048,  0.0000,  0.0000,  0.0000,  0.0028,  0.0300,  0.0009,  0.0006,  0.0000,Passed
217,10-07-2016 11:18,SERVICE,sDAR_L2,,,,Easycal Nuts,Easycal Nuts, 14.0,,0.0,,0.0,,0.0, 21.6761,  2.0196,  0.0000,  0.2019,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0200,  0.0000,  0.0000,  0.0000,  0.0116,  0.0292,  0.0038,  0.0006,  0.0001,Passed
218,10-07-2016 11:26,SERVICE,sDAR_L2,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0,  0.0000,  0.4218,  1.2483,  0.0973,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0652,  0.0015,  3.1380,  0.0054,  0.0234,  0.0066,  0.0275,  0.0018,  0.0002,  0.0000,Passed
219,10-07-2016 11:29,SERVICE,sDAR_L2,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0,  2.3299,  0.8021,  0.6976,  0.0733,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0680,  0.0023,  2.4199,  0.0065,  0.0571,  0.0086,  0.0307,  0.0028,  0.0007,  0.0000,Passed
220,10-07-2016 11:31,SERVICE,sDAR_M2,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0,  2.3755,  0.8012,  0.6987,  0.0737,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1088,  0.0025,  1.9556,  0.0058,  0.1555,  0.0090,  0.1424,  0.0032,  0.0007,  0.0000,Passed
221,10-07-2016 11:33,SERVICE,sDAR_H1,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0,  1.1390,  0.9455,  1.3945,  0.1648,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.4066,  0.0042,  4.9397,  0.0116,  0.4191,  0.0080,  0.6319,  0.0057,  0.0010,  0.0001,Passed
222,10-07-2016 11:34,SERVICE,OREAS624,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0,  0.2331,  1.5505,  1.4850,  0.1829,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1372,  0.0607,  0.0050, 15.5333,  0.0409,  3.0910,  0.0116,  2.3065,  0.0169,  0.0025,  0.0002,Passed
223,10-07-2016 11:36,SERVICE,Silica,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0,  0.4894,  0.6045,  0.2779,  0.0266,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0018,  0.0862,  0.0011,  0.0000,  0.0118,  0.0000,  0.0022,  0.0010,  0.0000,Passed
224,10-07-2016 11:37,SERVICE,Silica,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0,  0.1255,  0.6011,  0.2981,  0.0277,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0018,  0.0873,  0.0011,  0.0000,  0.0118,  0.0000,  0.0023,  0.0010,  0.0000,Passed
225,10-07-2016 11:39,SERVICE,Silica,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0,  0.5257,  0.6049,  0.2673,  0.0258,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0018,  0.0853,  0.0011,  0.0000,  0.0117,  0.0000,  0.0023,  0.0009,  0.0000,Passed
226,10-07-2016 11:41,SERVICE,Silica,,,,Easycal Nuts,Easycal Nuts, 60.0,,0.0,,0.0,,0.0,  0.5568,  0.6084,  0.2758,  0.0266,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0018,  0.0862,  0.0011,  0.0000,  0.0118,  0.0000,  0.0022,  0.0009,  0.0000,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
227,10-07-2016 13:09,SERVICE,OREAS13b,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
228,10-07-2016 13:12,SERVICE,OREAS22d,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
229,10-07-2016 13:14,SERVICE,OREAS45c,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
230,10-07-2016 13:16,SERVICE,OREAS45d,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
231,10-07-2016 13:18,SERVICE,OREAS45e,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
232,10-07-2016 13:21,SERVICE,OREAS62e,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
233,10-07-2016 13:23,SERVICE,OREAS100a,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
234,10-07-2016 13:25,SERVICE,OREAS120,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
235,10-07-2016 13:27,SERVICE,OREAS121,,,,Spectrometer Mode,, 40.0,,0.0,,0.0,,0.0,Passed
236,10-07-2016 13:32,SERVICE,OREAS121,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
237,10-07-2016 13:34,SERVICE,OREAS202,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
238,10-07-2016 13:36,SERVICE,OREAS621,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
239,10-07-2016 13:38,SERVICE,OREAS622,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
240,10-07-2016 13:40,SERVICE,OREAS623,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
241,10-07-2016 13:42,SERVICE,OREAS624,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
242,10-07-2016 13:44,SERVICE,2710a,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
243,10-07-2016 13:47,SERVICE,sdar l2,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
244,10-07-2016 13:49,SERVICE,sdar m2,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
245,10-07-2016 13:51,SERVICE,sdar h1,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
246,10-07-2016 13:53,SERVICE,si,,,,Spectrometer Mode,, 90.0,,0.0,,0.0,,0.0,Passed
247,10-11-2016 11:44,SERVICE,si,,,,Spectrometer Mode,,  1.0,,0.0,,0.0,,0.0,Passed
248,10-11-2016 11:45,SERVICE,si,,,,Spectrometer Mode,, 13.0,,0.0,,0.0,,0.0,Passed
249,10-11-2016 11:54,SERVICE,si,,,,Spectrometer Mode,,  5.0,,0.0,,0.0,,0.0,Passed
250,10-11-2016 12:00,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
251,10-11-2016 12:16,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
252,10-11-2016 12:17,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
253,10-11-2016 12:21,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
254,10-11-2016 12:23,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
255,10-11-2016 12:24,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
256,10-11-2016 12:25,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
257,10-11-2016 12:26,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
258,10-11-2016 12:28,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
259,10-11-2016 12:31,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
260,10-11-2016 12:34,SERVICE,si,,,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
261,10-11-2016 12:41,SERVICE,si,,,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
262,10-11-2016 12:49,SERVICE,si,,,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
263,10-11-2016 12:57,SERVICE,si,,,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
264,10-11-2016 13:03,SERVICE,si,,,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
265,10-11-2016 13:23,SERVICE,si,,,,Spectrum Only,, 25.0,,0.0,,0.0,,0.0,Passed
266,10-11-2016 13:24,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
267,10-11-2016 13:24,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
268,10-11-2016 13:26,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
269,10-11-2016 13:26,SERVICE,si,,,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
270,10-11-2016 13:33,SERVICE,si,,,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
271,10-11-2016 13:40,SERVICE,si,,,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
272,10-11-2016 13:46,SERVICE,si,,,,Spectrum Only,,300.0,,0.0,,0.0,,0.0,Passed
273,10-11-2016 14:34,SERVICE,si,,,,Spectrum Only,, 49.0,,0.0,,0.0,,0.0,Passed
274,10-11-2016 14:35,SERVICE,si,,,,Spectrum Only,,  8.0,,0.0,,0.0,,0.0,Passed
275,10-11-2016 14:35,SERVICE,si,,,,Spectrum Only,,  4.0,,0.0,,0.0,,0.0,Passed
276,10-11-2016 14:36,SERVICE,si,,,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed
277,10-11-2016 14:37,SERVICE,si,,,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed
278,10-11-2016 14:39,SERVICE,si,,,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed
279,10-11-2016 14:39,SERVICE,si,,,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed
280,10-11-2016 14:40,SERVICE,si,,,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed
281,10-11-2016 14:41,SERVICE,si,,,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed
282,10-11-2016 14:43,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
283,10-11-2016 14:44,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
284,10-11-2016 14:46,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
285,10-11-2016 14:47,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
286,10-11-2016 14:48,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
287,10-11-2016 14:49,SERVICE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
288,10-17-2016 16:30,REMOTE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
289,10-17-2016 16:32,REMOTE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
290,10-17-2016 16:36,REMOTE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
291,10-17-2016 16:47,REMOTE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
292,10-17-2016 16:49,REMOTE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
293,10-17-2016 16:50,REMOTE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
294,10-17-2016 16:51,REMOTE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
295,10-17-2016 16:52,REMOTE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
296,10-17-2016 16:55,REMOTE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
297,10-20-2016 10:32,SERVICE,si,,,,Spectrometer Mode,, 10.0,,0.0,,0.0,,0.0,Passed
298,10-20-2016 10:32,SERVICE,si,,,,Spectrometer Mode,, 10.0,,0.0,,0.0,,0.0,Passed
299,10-20-2016 10:34,SERVICE,si,,,,Spectrometer Mode,, 10.0,,0.0,,0.0,,0.0,Passed
300,10-20-2016 10:34,SERVICE,si,,,,Spectrometer Mode,, 10.0,,0.0,,0.0,,0.0,Passed
301,10-21-2016 11:58,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
302,10-21-2016 12:23,SERVICE,si,,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
303,10-24-2016 13:25,REMOTE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
304,10-24-2016 13:27,REMOTE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
305,10-24-2016 13:30,REMOTE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
306,10-24-2016 13:32,REMOTE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
307,10-24-2016 13:34,REMOTE,si,,,,Spectrum Only,, 60.0,,0.0,,0.0,,0.0,Passed
308,10-27-2016 07:09,SERVICE,si,,,,MudrockTrace,MudrockTrace,  6.0,NO RESULTS,100.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,S,S Err,Cl,Cl Err,K,K Err,Ca,Ca Err,Cal Check
309,10-27-2016 07:10,SERVICE,si,,,,OldPlantCal,OldPlantCal,  4.0,,0.0,,0.0,,0.0,100.0000,  9.8380,< LOD, 23.1429,< LOD,217.8348,< LOD,549.3629,Passed


